path,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label,id,text
01456.png,0.53008515,0.48897725,-0.11311516,0.015019512,-0.027616253,-0.42760643,-0.7509959,0.011547532,0.8582442,0.1324964,0.042181887,0.6250695,0.02708346,-0.829091,-0.38401374,0.025911145,0.54754,0.1536305,0.2663829,0.45593712,0,1456,they see them rollin..... they hating..
01726.png,0.30332097,-0.13654856,-0.6798438,0.25944299,-0.5099417,-0.40191728,-0.26416224,0.3968592,-0.03129837,0.05959804,-0.7332007,0.8501374,-0.4898513,-0.21287607,-1.2853228,0.26076895,1.0729176,0.38768786,-0.013143327,-0.2102146,0,1726,a real man loads the dishwasher every night
01765.png,-0.06774918,-0.18015906,-1.3068314,0.21395674,0.26635525,0.18153554,0.29208067,-0.2963634,0.8910197,-0.50182825,-0.44949993,0.8052024,-0.21297665,-0.30195087,-0.59248406,-0.28437814,0.07494973,0.53176886,0.2754583,0.18949929,0,1765,"after a girl dies, what organ in her body stays warm? my dick"
01796.png,0.66509426,0.18243574,-0.28796622,-0.16939765,0.26994413,0.081864335,-0.09768504,0.088677496,0.40955654,0.7431162,-0.30320147,0.8502357,-0.79788345,-0.10761161,-1.1975873,-0.107875,0.48935226,0.032807898,0.39342505,0.3854269,0,1796,life hack #23 how to get stoned with no weed
01925.png,0.01857387,0.49805075,-0.47931284,-0.028791958,-0.14570922,0.26705945,0.15057753,-0.1617648,0.76782763,0.4128246,-0.79207075,0.7133445,-0.032745834,-0.35409757,-0.308409,0.6568979,1.045326,0.04947364,-0.05253052,-0.018084338,0,1925,i am not racist i just don't like brown sugar
02143.png,0.48511207,-0.62137836,-0.80542463,-0.1426321,-0.20715578,0.03198651,-0.03580733,0.49207416,-0.25818574,0.42382282,-0.5553145,0.40959057,-0.27820796,0.20692791,-0.61602104,0.83958364,0.57936513,0.14891517,0.5294384,-0.34079933,0,2143,"doesnt have food, water, electricity proud of nuclear weapons"
02157.png,0.75741506,0.102167815,0.22596115,0.52690077,-0.2396618,-0.070720546,0.27455932,0.33394992,1.3120612,1.4005126,-0.14244884,0.52340955,-0.12421274,-0.6308862,0.28205016,-0.2507643,-0.43537644,0.65695685,0.3384203,-0.14005812,0,2157,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes"
02478.png,1.2836906,0.023704788,-0.6643843,0.2396622,-0.04725722,-0.0518679,-0.22498451,0.44316825,0.9278474,0.31394207,-0.14477481,0.6417159,0.3400069,-0.032251786,-0.48110878,0.51056445,0.27387777,-0.10380397,0.19375971,-0.28814697,0,2478,must..resist...urge to.. kill whitey.
02568.png,-0.120972015,-0.5375556,-0.5741937,-0.5714195,-0.08360483,-0.053924244,-0.3537473,0.5728878,-0.14827749,0.783097,-0.98520315,0.41958037,-0.29654536,-0.011875939,-1.4067203,-0.7440399,0.07309084,0.2755992,0.23172504,0.20087394,0,2568,whatsthe difference between heroin and i? cops think twice before shooting heroin
02634.png,1.537584,-0.6264772,-0.43297905,0.037755854,0.58822674,-0.5975334,0.1643338,0.014773723,0.5494424,0.4992188,0.08043807,0.5055928,-0.09508097,-0.52698994,-0.8290134,0.439129,-0.81500244,0.10022141,0.07300726,-0.1892623,0,2634,and just like that... this sandwich maker doubles as an ironing board
02783.png,0.77056813,0.042504363,-0.10425708,-0.17699921,0.6365215,0.77420145,0.08608942,0.53478324,0.64557934,0.22022279,0.43836945,0.74055743,-0.71066934,-0.66052884,-0.31043443,-0.28695437,-0.09977372,0.6925717,0.28180805,0.5578516,0,2783,a picture of my great great great grand grandfather's tractors they don't make them like they used to
03197.png,0.7672433,-0.028419891,0.16331285,0.52217466,0.0121876635,-0.083980195,0.4261764,0.38892573,0.7897488,0.36252257,0.27832744,1.5067686,-0.20049685,-0.42345643,-0.6195306,0.0782268,-0.22235216,0.518466,-0.37908727,0.90524715,0,3197,i'm no bird expert but i'm guessing it's 4 females and 1 male
03519.png,0.6138005,0.42409438,-0.3503997,-0.14955783,-0.49795663,0.07791767,-0.052515704,0.02130488,0.75741005,0.92962795,-0.3505442,1.4246696,-1.0930749,0.020799775,-0.16377321,0.06671142,0.354213,0.8455154,0.14979833,0.24370144,0,3519,i'm going home i'm russian
03524.png,0.24806227,-0.26702714,-1.2106628,0.2744379,-0.09038691,0.21414071,0.2694946,0.0867188,0.85830104,0.051643934,-0.089393444,0.53518593,-0.81630766,0.37514132,-0.9215503,0.5952584,0.40065172,-0.36738127,0.4221251,0.19301246,0,3524,terrorist can come to this country way to easy
03567.png,0.41983697,0.1860583,-0.4944594,-0.36455375,0.14869113,0.006183421,-0.32660532,0.46574822,0.24201977,0.15511647,0.07500998,0.73714733,-0.6313587,-0.37845445,-1.5253468,-0.25113913,0.6220612,0.223863,0.49407718,0.569018,0,3567,potato is my favorite color of the alphabet
03745.png,0.9262143,-0.033472575,0.26772243,-0.19907483,-0.33890018,-0.6206197,0.027614873,0.20174989,0.34279543,0.2707191,0.020580359,1.1578602,-0.22290367,-0.91007435,-0.82385993,0.059739523,0.44855353,0.388064,-0.093861766,0.5019084,0,3745,your order comes to $37.50 and your white privilege discount brings the total to $37.50
04769.png,0.406463,0.19004594,-0.28940272,0.61414963,-0.2603946,-0.36214346,0.14528288,0.37157643,0.70396364,0.37921733,-0.97349066,0.7343565,-0.42259315,-0.3873602,-1.0327766,0.2495625,0.8985217,0.017284881,1.0199705,0.19850455,0,4769,"if she's pouting like this and you don't immediately drop the argument , motherfucker you gay"
04857.png,0.693424,-0.14105643,-0.50973874,-0.4393408,0.40211877,-1.1579409,-0.44957036,0.34280884,0.51191306,-0.40335485,-1.0221397,0.16776448,-0.09871274,-0.5657948,-0.28998145,0.16093138,1.2177916,-0.40481815,0.21983314,0.08689467,0,4857,...even the dumb jews know that! trump is a racist.
05126.png,-0.2605655,0.26766425,0.09789027,-0.17348105,-0.4589016,0.1454618,0.23441605,0.38503972,0.87267876,0.68217576,-0.46181908,0.31922874,-0.023689758,-0.70323944,0.2198667,0.65353125,0.16547352,0.8530047,-0.50944173,0.0012465995,0,5126,can you smell what the reich is cooking
05279.png,1.0740836,-0.61508316,-0.5925959,0.36605412,0.5141169,-0.6943782,-0.17649113,0.12272403,1.0323282,1.5008552,-1.2766256,1.0715873,-0.5733327,-0.57612735,-1.0471488,0.88779616,0.72935647,0.49826205,0.48770472,0.5546595,0,5279,"knowing white people , that's probably the baby father"
05938.png,0.11333641,-0.88847065,-0.62256134,0.46976802,-0.23265564,0.038158957,-0.36355734,-0.30189586,0.58184457,0.053547125,-0.27751538,1.4313385,-0.55522776,-0.34606946,-0.6381261,0.9558971,1.0975477,0.0008323835,0.5072802,-0.23050734,0,5938,in the muslim world all gay men are well hung
06123.png,1.1424611,-0.31506497,0.047020376,-0.18654454,0.28747314,-0.7013281,-0.08432777,0.24524952,1.213256,0.42701825,0.030161671,0.577894,-0.64791775,-0.8618685,-0.32051048,0.03582444,-0.08370249,0.39945295,0.54775953,0.0024126563,0,6123,a group of men
06273.png,0.07195579,0.44388413,-0.20099957,-1.0183415,-0.015119489,-1.2760187,0.1462966,-0.5137503,1.1318396,0.17998846,-0.6715255,0.425772,-0.8279185,0.9740971,-0.4100009,0.4843682,0.10556142,0.047684725,-0.45542356,0.156758,0,6273,the jihad squad
06491.png,-0.16120215,0.20291083,-0.31907237,-0.1796861,0.8158155,-0.3364596,0.36458182,0.49324688,0.5282514,-0.48071638,-1.1162544,0.34507114,-0.8155837,-0.16646104,-0.7902098,0.046874993,1.0168151,-0.3307165,0.03256458,0.05720345,0,6491,tranny for sale
06582.png,0.1601701,0.4956246,-0.721898,0.16548415,-0.48906967,0.17074853,-0.04177042,0.09289682,1.2842243,0.080784306,-0.3934035,1.1354977,-0.46836758,-0.6331289,-0.7533358,-0.15599522,0.45840347,0.40582418,-0.3375233,0.4886823,0,6582,they are terrorists anyone who doesn't agree is an idiot
06723.png,0.7578867,0.55657136,-0.04869114,0.44827175,-0.4125199,-0.28637567,-0.08223395,-0.5061865,0.5370245,0.7389128,0.7085944,1.0248367,-0.41744637,-0.46668392,-1.042864,-0.090730436,0.9771047,0.59005296,0.4897759,0.6066627,0,6723,the hardest part to eat in a vegetable
07135.png,0.22818823,0.3872993,-0.38890743,0.38235217,-0.07183656,-0.114921264,-0.05256762,0.01572692,1.1284621,0.37608013,-1.296515,0.7193364,-0.7256566,-0.53661424,0.02753154,-0.11774156,0.46579906,0.19254458,-0.31121904,0.5233779,0,7135,this is the greatest news manufacturing in 20th century
07198.png,0.73003215,0.045140855,-0.1116775,-0.23636597,0.005417738,-0.60493946,-0.60204405,-0.15886639,0.92120147,0.09386076,-0.2662219,0.98921114,-0.7417285,-0.046264276,-0.5094067,0.22390509,0.553931,0.311934,-0.08772471,0.31601906,0,7198,islam is a religion of peace stop criticizing my religion
